municipio,total
FLANDES,146
MELGAR,218
SUAREZ,13
ORTEGA,139
VALLE DE SAN JUAN,22
ANZOATEGUI,31
PIEDRAS,25
SALDANA,49
SAN ANTONIO,74
ROVIRA,142
SAN LUIS,54
GUAMO,133
ARMERO_GUAYABAL,42
PRADO,35
HERVEO,16
MURILLO,18
ALPUJARRA,16
LIBANO,176
DOLORES,26
RONCESVALLES,23
SANTA ISABEL,34
CUNDAY,26
ATACO,103
FALAN,17
CHAPARRAL,290
PLANADAS,168
RIOBLANCO,126
COYAIMA,119
ICONONZO,32
CASABIANCA,26
VENADILLO,50
HONDA,118
PALOCABILDO,41
VILLARICA,21
FRESNO,152
VILLAHERMOSA,30
IBAGUE,"2,718"
LERIDA,90
CARMEN DE APICALA,37
PURIFICACION,116
CAJAMARCA,120
ESPINAL,413
MARIQUITA,166
ALVARADO,28
AMBALEMA,21
COELLO,36
NATAGAIMA,77
